bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weigth,wifi
yes,gray,Undefinded,No,card onboard,https://www.techone.vn/macbook-pro-2020-13-inch-apple-m1-8gb-ram-512gb-ssd-myd92-grey.html,MacBook Pro 2020,MacOS,,Thunderbolt,34.090.000,Undefinded,720p FaceTime HD camera,1560 x 1600,512gb,13,retina,No,undefined,new,Mac,1.3,"""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,Undefinded,No,card onboard,https://www.techone.vn/macbook-pro-2020-13-inch-apple-m1-8gb-ram-256gb-ssd-myda2-silver.html,MacBook Pro 2020,MacOS,,Thunderbolt,29.490.000,Undefinded,720p FaceTime HD camera,1560 x 1600,256gb,13,retina,No,undefined,new,Mac,1.3,"""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,Undefinded,No,card onboard,https://www.techone.vn/macbook-pro-2020-13-inch-apple-m1-8gb-ram-512gb-ssd-mydc2-silver.html,MacBook Pro 2020,MacOS,,Thunderbolt,34.090.000,Undefinded,720p FaceTime HD camera,1560 x 1600,512gb,13,retina,No,undefined,new,Mac,1.3,"""Wi-Fi 802.11 b/g/n/ac"""
yes,gold,intel intel Core i5 Dual-Core 1.6GHz Core i5 Dual-Core Intel UHD Graphics 617,No,Intel UHD Graphics 617,https://www.techone.vn/macbook-air-13-256gb-gold-2018-mref2.html,Macbook Air 13″ 256GB Gold 2018,MacOS,,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",27.090.000,8gb LPDDR3 SDRAM 2133MHz,720p FaceTime HD camera,1560 x 1600,256GB,13,retina,No,30.5 x 30.5 x 1.5,new,Mac,1.25 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,space gray,intel intel Core i5 Dual-Core 1.6GHz Core i5 Dual-Core Intel UHD Graphics 617,No,Intel UHD Graphics 617,https://www.techone.vn/macbook-air-13-256gb-space-gray-2018-mre92.html,Macbook Air 13″ 256GB Space Gray 2018,MacOS,,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",27.090.000,8gb LPDDR3 SDRAM 2133MHz,720p FaceTime HD camera,1560 x 1600,256GB,13,retina,No,30.5 x 30.5 x 1.5,new,Mac,1.25 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,intel intel Core i5 Dual-Core 1.6GHz Core i5 Dual-Core Intel UHD Graphics 617,No,Intel UHD Graphics 617,https://www.techone.vn/macbook-air-13-128gb-silver-2018-mrea2.html,Macbook Air 13″ 128GB Silver 2018,MacOS,,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",22.450.000,8gb LPDDR3 SDRAM 2133MHz,720p FaceTime HD camera,1560 x 1600,128GB,13,retina,No,30.5 x 30.5 x 1.5,new,Mac,1.25 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,gray,Undefinded,No,card onboard,https://www.techone.vn/macbook-pro-2020-13-inch-apple-m1-8gb-ram-256gb-ssd-myd82-grey.html,MacBook Pro 2020,MacOS,,Thunderbolt,29.490.000,Undefinded,720p FaceTime HD camera,1560 x 1600,256gb,13,retina,No,undefined,new,Mac,1.3,"""Wi-Fi 802.11 b/g/n/ac"""
yes,space gray,intel intel Core i5 Dual-Core 1.6GHz Core i5 Dual-Core Intel UHD Graphics 617,No,Intel UHD Graphics 617,https://www.techone.vn/macbook-air-13-128gb-space-gray-2018-mre82.html,Macbook Air 13″ 128GB Space Gray 2018,MacOS,,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",22.350.000,8gb LPDDR3 SDRAM 2133MHz,720p FaceTime HD camera,1560 x 1600,128GB,13,retina,No,30.5 x 30.5 x 1.5,new,Mac,1.25 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,intel intel Core i5 Dual-Core 1.6GHz Core i5 Dual-Core Intel UHD Graphics 617,No,Intel UHD Graphics 617,https://www.techone.vn/macbook-air-13-256gb-silver-2018-mrec2.html,Macbook Air 13″ 256GB Silver 2018,MacOS,,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",27.090.000,8gb LPDDR3 SDRAM 2133MHz,720p FaceTime HD camera,1560 x 1600,256GB,13,retina,No,30.5 x 30.5 x 1.5,new,Mac,1.25 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,gray,Hãng không công bố Intel Core i9 Coffee Lake 2.60 GHz,No,card onboard,https://www.techone.vn/macbook-pro-16-inch-1tb-2019-mvvk2-chinh-hang-xam.html,Macbook Pro 16 inch 1TB 2019,MacOS,,4 x Thunderbolt 3 (USB-C),58.590.000,Không hỗ trợ nâng cấp 16GB DDR4 (1 khe) 2666 MHz,720p FaceTime HD camera,3072 x 1920,1TB,16,retina,No,357.9 mm x 245.9 mm,new,Mac,2.0 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,rose gold,intel Core i5 processor Core i5 processor 1.3GHZ Core i5 Intel HD Graphics 615,No,Intel HD Graphics 615,https://www.techone.vn/the-new-macbook-2017-12-mnyn2-rose-gold-2017.html,The New macbook (2017) 12″ – MNYN2 – Rose Gold – 2017,MacOS,,USB-C port with support for: Charging; USB 3.1 Gen 1 (up to 5 Gbps),33.490.000,8GB LPDDR3 1866MHz,720p FaceTime HD camera,"2304-by-1440 resolution at 226 pixels per inch with support for millions of colors; 16:10 aspect ratio; Supported scaled resolutions: (1440 by 900, 1280 by 800, 1024 by 640)",512GB PCIe-based onboard flash storage,12-inch (diagonal),retina,No,undefined,new,Mac,920g,"""Wi-Fi 802.11 b/g/n/ac"""
yes,gold,intel intel Core i5 Dual-Core 1.6GHz Core i5 Dual-Core Intel UHD Graphics 617,No,Intel UHD Graphics 617,https://www.techone.vn/macbook-air-13-128gb-gold-2018-mree2.html,Macbook Air 13″ 128GB Gold 2018,MacOS,,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",23.150.000,8gb LPDDR3 SDRAM 2133MHz,720p FaceTime HD camera,1560 x 1600,128GB,13,retina,No,30.5 x 30.5 x 1.5,new,Mac,1.25 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,intel intel quad-core 8th 2.6GHz Core i7 Intel Iris Plus 655,No,Intel Iris Plus 655,https://www.techone.vn/macbook-pro-15-inch-touch-bar-512gb-silver-mr972.html,MacBook Pro 15 inch Touch Bar 512GB Silver (MR972),MacOS,,Thunderbolt,57.190.000,8GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2880 x 1800,512GB PCIe-based onboard SSD,15,retina,No,349.3 x 240.7 x 15.5,new,Mac,"1,83","""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,Hãng không công bố Intel Core i9 2.60 GHz,No,card onboard,https://www.techone.vn/macbook-pro-16-inch-1tb-2019-mvvm2-chinh-hang-bac.html,Macbook Pro 16 inch 1TB 2019,MacOS,,4 x Thunderbolt 3 (USB-C),58.590.000,Không hỗ trợ nâng cấp 16GB DDR4 (1 khe) 2666 MHz,720p FaceTime HD camera,3072 x 1920,1TB,16,retina,No,357.9 mm x 245.9 mm,new,Mac,2.0 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,space gray,"intel intel Core i5 Dual-Core 1.6GHz Gen 8 Intel Core i5 processor, up to 3.6GHz Core i5 Dual-Core Intel UHD Graphics 617",No,Intel UHD Graphics 617,https://www.techone.vn/mvfj2-macbook-air-13-inch-256g-space-gray-2019-hang-chinh-hang.html,Macbook Air 13-inch 256G Space Gray- 2019,MacOS,,Up to 12 hours wireless web Up to 13 hours iTunes movie playback Up to 30 days of standby time Built-in 49.9‑watt‑hour lithium‑polymer battery 30W USB-C Power Adapter; USB-C power port,25.390.000,16GB 8GB LPDDR3 SDRAM 2133MHz,720p FaceTime HD camera,1560 x 1600,256GB,13,retina,No,undefined,new,Mac,1.3,"""Wi-Fi 802.11 b/g/n/ac"""
yes,space gray,Intel quad-core Intel Core i7 processor 7820HQ 2.9GHz Radeon Pro 555 with 2GB memory,No,Radeon Pro 555 with 2GB memory,https://www.techone.vn/macbook-pro-15in-touch-bar-512gb-mptt2-2017-space-gray.html,MacBook Pro 15in Touch Bar 512GB MPTT2 2017,MacOS,,Four Thunderbolt 3 ports,57.590.000,16GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2880 x 1800,512GB PCIe-based onboard SSD,15,retina,No,34.93 x 24.07 x 1.55,new,Mac,"1,83","""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,Intel quad-core Intel Core i7 processor 7820HQ 2.9GHz Radeon Pro 555 with 2GB memory,No,Radeon Pro 555 with 2GB memory,https://www.techone.vn/macbook-pro-15-touch-bar-512gb-mptv2-2017-silver.html,MacBook Pro 15″ Touch Bar 512GB MPTV2 2017,MacOS,,Four Thunderbolt 3 ports,57.590.000,16GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2880-by-1800 native resolution at 220 pixels per inch,512GB PCIe-based onboard SSD,15.4-inch (diagonal) LED-backlit display with IPS technology;,retina,No,34.93 x 24.07 x 1.55,new,Mac,"1,83","""Wi-Fi 802.11 b/g/n/ac"""
yes,gray,intel intel 6-core 2.2GHz Core i7 Intel Iris Plus 655,No,Intel Iris Plus 655,https://www.techone.vn/macbook-pro-15-inch-2018-256gb-spacegray-mr932.html,Macbook Pro 15 inch 2018,MacOS,,Thunderbolt,43.390.000,8GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2880 x 1800,256GB PCIe-based onboard SSD,15,retina,No,349.3 x 240.7 x 15.5,new,Mac,"1,83","""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,Intel quad-core Intel Core i7 processor 2.8GHz Radeon Pro 555 with 2GB memory,No,Radeon Pro 555 with 2GB memory,https://www.techone.vn/macbook-pro-15-touch-bar-256gb-mptu2-2017-silver.html,MacBook Pro 15″ Touch Bar 256GB MPTU2 2017,MacOS,,Four Thunderbolt 3 ports,47.990.000,16GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2880-by-1800 native resolution at 220 pixels per inch,256GB PCIe-based onboard SSD,15.4-inch (diagonal) LED-backlit display with IPS technology;,retina,No,34.93 x 24.07 x 1.55,new,Mac,"1,83","""Wi-Fi 802.11 b/g/n/ac"""
yes,gray,intel intel quad-core 8th 2.6GHz Core i7 Intel Iris Plus 655,No,Intel Iris Plus 655,https://www.techone.vn/macbook-pro-15-inch-2018-512gb-spacegray-mr942.html,Macbook Pro 15 inch 2018,MacOS,,Thunderbolt,56.690.000,8GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2880 x 1800,512GB PCIe-based onboard SSD,15,retina,No,349.3 x 240.7 x 15.5,new,Mac,"1,83","""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,intel intel 6-core 2.2GHz Core i7 Intel Iris Plus 655,No,Intel Iris Plus 655,https://www.techone.vn/macbook-pro-15-inch-2018-256gb-sliver-mr962.html,Macbook Pro 15 inch 2018,MacOS,,Thunderbolt,53.590.000,8GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2880 x 1800,256GB PCIe-based onboard SSD,15,retina,No,349.3 x 240.7 x 15.5,new,Mac,"1,83","""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,intel intel quad-core 8th 2.3GHz Core i5 Intel Iris Plus 655,No,Intel Iris Plus 655,https://www.techone.vn/macbook-macbook-pro-13-inch-2018-512gb-sliver-mr9v2.html,Macbook Macbook Pro 13 inch 2018,MacOS,,Thunderbolt,43.590.000,8GB onboard LPDDR3 2133MHz,720p FaceTime HD camera,1560 x 1600,512GB PCIe-based onboard SSD,13,retina,No,30.41 x x 21.24 x x 1.49 cm,new,Mac,"1,37","""Wi-Fi 802.11 b/g/n/ac"""
yes,space gray,intel intel quad-core 8th 2.3GHz Core i5 Intel Iris Plus 655,No,Intel Iris Plus 655,https://www.techone.vn/macbook-macbook-pro-13-inch-2018-512gb-space-gray-mr9r2.html,Macbook Macbook Pro 13 inch 2018,MacOS,,Thunderbolt,43.590.000,8GB onboard LPDDR3 2133MHz,720p FaceTime HD camera,1560 x 1600,512GB PCIe-based onboard SSD,13,retina,No,30.41 x x 21.24 x x 1.49 cm,new,Mac,"1,37","""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,intel intel quad-core 8th 2.3GHz Core i5 Intel Iris Plus 655,No,Intel Iris Plus 655,https://www.techone.vn/macbook-pro-13-3-touchbar-2018-ssd-256gb-sliver-mr9u2.html,Macbook Pro 13.3” TouchBar 2018,MacOS,,Thunderbolt,35.990.000,8GB onboard LPDDR3 2133MHz,720p FaceTime HD camera,2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3).,256GB PCIe-based onboard SSD,13.3-inch,retina,No,30.41 x x 21.24 x x 1.49 cm,new,Mac,"1,37","""Wi-Fi 802.11 b/g/n/ac"""
yes,space gray,intel intel quad-core 8th 2.3GHz Core i5 Intel Iris Plus 655,No,Intel Iris Plus 655,https://www.techone.vn/macbook-pro-13-3-touchbar-2018-ssd-256gb-space-gray-mr9q2.html,Macbook Pro 13.3” TouchBar 2018,MacOS,,Thunderbolt,35.990.000,8GB onboard LPDDR3 2133MHz,720p FaceTime HD camera,2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3).,256GB PCIe-based onboard SSD,13.3-inch,retina,No,30.41 x x 21.24 x x 1.49 cm,new,Mac,"1,37","""Wi-Fi 802.11 b/g/n/ac"""
yes,space gray,Intel quad-core Intel Core i7 processor 2.8GHz Radeon Pro 555 with 2GB memory,No,Radeon Pro 555 with 2GB memory,https://www.techone.vn/macbook-pro-15-touch-bar-256gb-mptr2-2017-space-gray.html,MacBook Pro 15″ Touch Bar 256GB MPTR2 2017,MacOS,,Four Thunderbolt 3 ports,47.990.000,16GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2880-by-1800 native resolution at 220 pixels per inch,256GB PCIe-based onboard SSD,15.4-inch (diagonal) LED-backlit display with IPS technology;,retina,No,34.93 x 24.07 x 1.55,new,Mac,"1,83","""Wi-Fi 802.11 b/g/n/ac"""
yes,undefined,intel Turbo Boost up to 2.9GHz Core i5 1.8GHz Core i5 Intel Iris Plus Graphics 640,No,Intel Iris Plus Graphics 640,https://www.techone.vn/macbook-air-13-256gb-2017-mqd42.html,MacBook Air 13″ 256GB 2017,MacOS,,Thunderbolt,25.590.000,"2133MHz 8GB 8GB LPDDR3 memory,",720p FaceTime HD camera,1560 x 1600,256GB,13,retina,No,32.5 x x 22.7 x x 1.7 cm,new,Mac,"1,35","""Wi-Fi 802.11 b/g/n/ac"""
yes,space gray,Intel dual-core Intel Core i5 processor dual-core Intel Core i5 processor 3.1GHz Intel Iris Plus Graphics 650,No,Intel Iris Plus Graphics 650,https://www.techone.vn/macbook-pro-13-touch-bar-512gb-2017-mpxw2-space-gray.html,MacBook Pro 13” Touch Bar 512GB 2017,MacOS,,Thunderbolt,41.390.000,8GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3).,512GB PCIe-based onboard SSD,13.3-inch (diagonal) LED-backlit display with IPS technology;,retina,No,30.41 x 21.24 x 1.49 cm,new,Mac,"1,37","""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,Intel dual-core Intel Core i5 processor dual-core Intel Core i5 processor 3.1GHz Intel Iris Plus Graphics 650,No,Intel Iris Plus Graphics 650,https://www.techone.vn/macbook-pro-13-touch-bar-512gb-2017-mpxy2-silver.html,MacBook Pro 13” Touch Bar 512GB 2017,MacOS,,Thunderbolt,41.390.000,8GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3).,512GB PCIe-based onboard SSD,13.3-inch (diagonal) LED-backlit display with IPS technology;,retina,No,30.41 x 21.24 x 1.49 cm,new,Mac,"1,37","""Wi-Fi 802.11 b/g/n/ac"""
yes,undefined,intel Turbo Boost up to 2.9GHz Core i5 1.8GHz Core i5 Intel Iris Plus Graphics 640,No,Intel Iris Plus Graphics 640,https://www.techone.vn/macbook-air-13-128gb-2017-mqd32.html,MacBook Air 13″ 128GB 2017,MacOS,,Thunderbolt,18.290.000,"2133MHz 8GB 8GB LPDDR3 memory,",720p FaceTime HD camera,1560 x 1600,128GB,13,retina,No,Đang cập nhật x Đang cập nhật x Đang cập nhật,new,Mac,Đang cập nhật,"""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,Intel dual-core Intel Core i5 processor dual-core Intel Core i5 processor 3.1GHz Intel Iris Plus Graphics 650,No,Intel Iris Plus Graphics 650,https://www.techone.vn/macbook-pro-13-touch-bar-256gb-2017-mpxx2-silver.html,Macbook Pro 13″ Touch Bar 256GB 2017,MacOS,,Thunderbolt,38.390.000,8GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3).,256GB PCIe-based onboard SSD,13.3-inch (diagonal) LED-backlit display with IPS technology;,retina,No,30.41 x 21.24 x 1.49 cm,new,Mac,"1,37","""Wi-Fi 802.11 b/g/n/ac"""
yes,space gray,Intel dual-core Intel Core i5 processor dual-core Intel Core i5 processor 3.1GHz Intel Iris Plus Graphics 650,No,Intel Iris Plus Graphics 650,https://www.techone.vn/macbook-pro-13-touch-bar-256gb-2017-mpxv2-space-gray.html,Macbook Pro 13″ Touch Bar 256GB 2017,MacOS,,Thunderbolt,38.390.000,8GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3).,256GB PCIe-based onboard SSD,13.3-inch (diagonal) LED-backlit display with IPS technology;,retina,No,30.41 x 21.24 x 1.49 cm,new,Mac,"1,37","""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,Intel dual-core Intel Core i5 chip thế hệ 7 ( kaby lake) 2.3GHz Intel Iris Graphics 640,No,Intel Iris Graphics 640,https://www.techone.vn/macbook-pro-13-128gb-2017-mpxr2-silver.html,Macbook Pro 13″ 128GB 2017,MacOS,,"2 x ports Thunderbolt 3 (USB-C); Support for Charging, DisplayPort, ThunderBolt (up to 40Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",26.890.000,8GB 2133MHz,720p FaceTime HD camera,2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3).,128GB,13.3-inch (diagonal) LED-backlit display with IPS technology;,retina,No,30.41 x 21.24 x 1.49 cm,new,Mac,"1,37","""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,"intel Intel Core i7 quad-core 8th 2.4GHz 2.6GHz 6‑core 9th‑generation Intel Core i7 processor, Turbo Boost up to 4.5GHz Intel UHD Graphics 630",No,Intel UHD Graphics 630,https://www.techone.vn/mv932-macbook-pro-15in-touch-bar-512gb-silver-2019-hang-chinh-hang.html,MacBook Pro 15in Touch Bar 512GB Silver- 2019,MacOS,,Four Thunderbolt 3 (USB-C) ports with support for: * Charging * DisplayPort * Thunderbolt (up to 40Gb/s) * USB 3.1 Gen 2 (up to 10Gb/s),50.050.000,8GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2880 x 1800,512GB PCIe-based onboard SSD,15,retina,No,undefined,new,Mac,1.8,"""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,Intel dual-core Intel Core i5 chip thế hệ 7 ( kaby lake) 2.3GHz Intel Iris Graphics 640,No,Intel Iris Graphics 640,https://www.techone.vn/macbook-pro-256gb-13-2017-mpxu2-silver.html,Macbook Pro 256GB 13″ 2017,MacOS,,"2 x ports Thunderbolt 3 (USB-C); Support for Charging, DisplayPort, ThunderBolt (up to 40Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",28.790.000,8GB 2133MHz,720p FaceTime HD camera,2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3).,256GB flash,13.3-inch (diagonal) LED-backlit display with IPS technology;,retina,No,30.41 x 21.24 x 1.49 cm,new,Mac,"1,37","""Wi-Fi 802.11 b/g/n/ac"""
yes,space gray,Intel dual-core Intel Core i5 chip thế hệ 7 ( kaby lake) 2.3GHz Intel Iris Graphics 640,No,Intel Iris Graphics 640,https://www.techone.vn/macbook-pro-13-256gb-2017-mpxt2-space-gray.html,Macbook Pro 13″ 256GB 2017,MacOS,,"2 x ports Thunderbolt 3 (USB-C); Support for Charging, DisplayPort, ThunderBolt (up to 40Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",28.890.000,8GB 2133MHz,720p FaceTime HD camera,2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3).,256GB flash,13.3-inch (diagonal) LED-backlit display with IPS technology;,retina,No,30.41 x 21.24 x 1.49 cm,new,Mac,"1,37","""Wi-Fi 802.11 b/g/n/ac"""
yes,undefined,Intel dual-core Intel Core i5 chip thế hệ 7 ( kaby lake) 2.3GHz Intel Iris Graphics 640,No,Intel Iris Graphics 640,https://www.techone.vn/macbook-pro-13-128gb-2017-mpxq2.html,Macbook Pro 13″ 128GB 2017,MacOS,,"2 x ports Thunderbolt 3 (USB-C); Support for Charging, DisplayPort, ThunderBolt (up to 40Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",26.890.000,8GB 2133MHz,720p FaceTime HD camera,2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3).,128GB,13.3-inch (diagonal) LED-backlit display with IPS technology;,retina,No,30.41 x 21.24 x 1.49 cm,new,Mac,"1,37","""Wi-Fi 802.11 b/g/n/ac"""
yes,space gray,"intel Intel Core i7 quad-core 8th 2.4GHz 2.6GHz 6‑core 9th‑generation Intel Core i7 processor, Turbo Boost up to 4.5GHz Intel UHD Graphics 630",No,Intel UHD Graphics 630,https://www.techone.vn/mv912-macbook-pro-15in-touch-bar-512gb-space-gray-2019-hang-chinh-hang.html,MacBook Pro 15in Touch Bar 512GB Space Gray- 2019,MacOS,,Four Thunderbolt 3 (USB-C) ports with support for: * Charging * DisplayPort * Thunderbolt (up to 40Gb/s) * USB 3.1 Gen 2 (up to 10Gb/s),50.050.000,8GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2880 x 1800,512GB PCIe-based onboard SSD,15,retina,No,undefined,new,Mac,1.8,"""Wi-Fi 802.11 b/g/n/ac"""
yes,space gray,"intel intel quad-core 8th 2.2GHz 2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz Intel Iris Plus 655",No,Intel Iris Plus 655,https://www.techone.vn/macbook-mv972-macbook-pro-13inch-touch-bar-512gb-space-gray-2019-hang-chinh-hang.html,Macbook – MacBook Pro 13inch Touch Bar 512GB Space Gray- 2019,MacOS,,Thunderbolt,36.390.000,8GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,1560 x 1600,512GB PCIe-based onboard SSD,13,retina,No,30.41 x x 21.24 x x 1.49 cm,new,Mac,"1,37","""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,"intel Intel Core i7 quad-core 8th 2.4GHz 2.6GHz 6‑core 9th‑generation Intel Core i7 processor, Turbo Boost up to 4.5GHz Intel UHD Graphics 630",No,Intel UHD Graphics 630,https://www.techone.vn/mv922-macbook-pro-15in-touch-bar-256gb-silver-2019-hang-chinh-hang.html,MacBook Pro 15in Touch Bar 256GB Silver- 2019,MacOS,,Four Thunderbolt 3 (USB-C) ports with support for: * Charging * DisplayPort * Thunderbolt (up to 40Gb/s) * USB 3.1 Gen 2 (up to 10Gb/s),41.800.000,8GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2880 x 1800,256GB PCIe-based onboard SSD,15,retina,No,undefined,new,Mac,1.8,"""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,"intel intel quad-core 8th 2.2GHz 2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz Intel Iris Plus 655",No,Intel Iris Plus 655,https://www.techone.vn/macbook-mv9a2-macbook-pro-13in-touch-bar-512gb-silver-2019-hang-chinh-hang.html,Macbook – MacBook Pro 13in Touch Bar 512GB Silver- 2019,MacOS,,Thunderbolt,36.390.000,8GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,1560 x 1600,512GB PCIe-based onboard SSD,13,retina,No,30.41 x x 21.24 x x 1.49 cm,new,Mac,"1,37","""Wi-Fi 802.11 b/g/n/ac"""
